latitude,longitude
-10.939,-37.063
-10.939,-37.063
-10.939,-37.063
-10.939,-37.063
-10.939,-37.063
-10.939,-37.063
-10.938,-37.063
-10.938,-37.062
-10.939,-37.061
-10.939,-37.061
-10.939,-37.060
-10.940,-37.060
-10.940,-37.059
-10.940,-37.059
-10.940,-37.058
-10.941,-37.058
-10.941,-37.058
-10.941,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.942,-37.057
-10.943,-37.056
-10.943,-37.056
-10.943,-37.056
-10.943,-37.055
-10.943,-37.055
-10.943,-37.054
-10.944,-37.053
-10.944,-37.052
-10.944,-37.052
-10.944,-37.052
-10.944,-37.052
-10.944,-37.051
-10.944,-37.051
-10.944,-37.051
-10.943,-37.051
-10.943,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.942,-37.051
-10.941,-37.051
-10.941,-37.050
-10.942,-37.050
-10.942,-37.049
-10.942,-37.049
-10.943,-37.048
-10.943,-37.048
-10.944,-37.047
-10.944,-37.047
-10.945,-37.046
-10.945,-37.046
-10.946,-37.046
-10.946,-37.046
-10.946,-37.046
-10.946,-37.046
-10.946,-37.046
-10.946,-37.046
-10.947,-37.046
-10.947,-37.046
-10.947,-37.046
-10.947,-37.046
-10.947,-37.046
-10.947,-37.046
-10.947,-37.046
-10.947,-37.046
-10.947,-37.046
-10.939,-37.062
-10.939,-37.063
-10.939,-37.063
-10.939,-37.063
-10.939,-37.063
-10.939,-37.063
-10.938,-37.063
-10.938,-37.062
-10.939,-37.062
-10.939,-37.061
-10.939,-37.060
-10.940,-37.060
-10.940,-37.059
-10.940,-37.059
-10.940,-37.059
-10.940,-37.059
-10.941,-37.059
-10.941,-37.059
-10.941,-37.059
-10.941,-37.060
-10.941,-37.060
-10.942,-37.060
-10.942,-37.061
-10.943,-37.061
-10.943,-37.061
-10.943,-37.061
-10.943,-37.061
-10.943,-37.061
-10.943,-37.061
-10.943,-37.062
-10.944,-37.062
-10.944,-37.062
-10.945,-37.062
-10.945,-37.063
-10.946,-37.063
-10.947,-37.063
-10.947,-37.063
-10.948,-37.064
-10.948,-37.064
-10.949,-37.065
-10.950,-37.066
-10.950,-37.066
-10.951,-37.067
-10.952,-37.067
-10.952,-37.067
-10.952,-37.068
-10.953,-37.068
-10.954,-37.068
-10.954,-37.069
-10.955,-37.069
-10.955,-37.069
-10.956,-37.069
-10.956,-37.070
-10.957,-37.069
-10.958,-37.069
-10.959,-37.069
-10.960,-37.069
-10.962,-37.069
-10.963,-37.069
-10.964,-37.069
-10.965,-37.069
-10.966,-37.069
-10.966,-37.068
-10.966,-37.067
-10.966,-37.066
-10.966,-37.065
-10.967,-37.065
-10.968,-37.065
-10.968,-37.066
-10.969,-37.066
-10.969,-37.066
-10.969,-37.067
-10.970,-37.067
-10.970,-37.067
-10.970,-37.067
-10.970,-37.067
-10.970,-37.067
-10.970,-37.067
-10.970,-37.067
-10.970,-37.067
-10.970,-37.067
-10.971,-37.066
-10.971,-37.066
-10.971,-37.067
-10.972,-37.067
-10.972,-37.067
-10.972,-37.067
-10.972,-37.068
-10.973,-37.068
-10.973,-37.068
-10.973,-37.068
-10.973,-37.068
-10.973,-37.068
-10.973,-37.068
-10.973,-37.068
-10.974,-37.069
-10.974,-37.069
-10.974,-37.069
-10.974,-37.069
-10.974,-37.069
-10.974,-37.069
-10.974,-37.069
-10.974,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.975,-37.068
-10.903,-37.048
-10.904,-37.048
-10.904,-37.048
-10.906,-37.048
-10.907,-37.048
-10.907,-37.048
-10.907,-37.048
-10.907,-37.048
-10.908,-37.048
-10.908,-37.048
-10.909,-37.048
-10.909,-37.048
-10.909,-37.049
-10.909,-37.050
-10.909,-37.050
-10.909,-37.050
-10.909,-37.050
-10.909,-37.050
-10.909,-37.050
-10.909,-37.050
-10.909,-37.050
-10.909,-37.050
